Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
143,Hindustan Petroleum Corporation Limited,HINDPETRO,P&F | F.A,0.0542,306.55,9707480
124,Dlf Limited,DLF,P&F | F.A,0.034300000000000004,516.85,5261791
181,Indian Oil Corporation Limited,IOC,P&F | F.A,0.034,98.75,20310183
130,Sun Tv Network Limited,SUNTV,P&F | F.A,0.0333,458.2,798082
66,Godrej Properties Limited,GODREJPROP,P&F | F.A,0.0327,1610.45,1094464
86,Oberoi Realty Limited,OBEROIRLTY,P&F | F.A,0.031,1043.0,829315
107,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,0.0287,752.6,1633635
14,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,0.0276,5218.0,407124
139,Laurus Labs Limited,LAURUSLABS,P&F | F.A,0.0262,363.65,1290320
155,Tata Power Company Limited,TATAPOWER,P&F | F.A,0.0253,227.3,17912287
164,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,P&F | F.A,0.0227,166.6,4876898
135,Bharat Petroleum Corporation Limited,BPCL,P&F | F.A,0.022400000000000003,395.2,4818319
163,Zee Entertainment Enterprises Limited,ZEEL,P&F | F.A,0.0216,187.05,9440477
169,The Federal Bank  Limited,FEDERALBNK,P&F | F.A,0.0203,136.0,12641673
133,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,0.019799999999999998,406.95,1609083
47,Dr. Lal Path Labs Ltd.,LALPATHLAB,P&F | F.A,0.0194,2333.8,259006
149,Power Grid Corporation Of India Limited,POWERGRID,P&F | F.A,0.018000000000000002,257.8,5915035
53,Cummins India Limited,CUMMINSIND,P&F | F.A,0.0177,1907.85,406681
142,Canara Bank,CANBK,P&F | F.A,0.0171,327.6,5517506
148,Biocon Limited,BIOCON,P&F | F.A,0.0169,262.0,1327613
147,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,P&F | F.A,0.0168,277.8,2150769
77,Havells India Limited,HAVELLS,P&F | F.A,0.0165,1308.3,640967
175,Bharat Electronics Limited,BEL,P&F | F.A,0.016399999999999998,123.75,7777822
83,Mahanagar Gas Limited,MGL,P&F | F.A,0.0161,1097.4,340155
116,Intellect Design Arena Limited,INTELLECT,P&F | F.A,0.0155,617.2,436831
16,Britannia Industries Limited,BRITANNIA,P&F | F.A,0.0148,5171.3,558942
188,Gmr Infrastructure Limited,GMRINFRA,P&F | F.A,0.0148,44.45,6663458
160,Ntpc Limited,NTPC,P&F | F.A,0.0147,196.25,8379455
43,Reliance Industries Limited,RELIANCE,P&F | F.A,0.0141,2620.9,4506925
170,City Union Bank Limited,CUB,P&F | F.A,0.0139,131.7,2513687
49,Srf Limited,SRF,P&F | F.A,0.0138,2255.45,355964
153,Bandhan Bank Ltd,BANDHANBNK,P&F | F.A,0.0138,228.05,6220319
189,Idea Cellular Limited,IDEA,P&F | F.A,0.013500000000000002,7.5,40085017
150,Delta Corp Limited,DELTACORP,P&F | F.A,0.013300000000000001,254.45,874678
182,Bharat Heavy Electricals Limited,BHEL,P&F | F.A,0.0129,94.15,40652864
5,Abbott India Limited,ABBOTINDIA,P&F | F.A,0.0126,23600.0,3935
13,Dr. Reddy's Laboratories Limited,DRREDDY,P&F | F.A,0.0126,5243.8,227438
126,Indraprastha Gas Limited,IGL,P&F | F.A,0.0126,490.5,717299
104,Syngene International Limited,SYNGENE,P&F | F.A,0.0124,764.3,422336
117,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,P&F | F.A,0.0121,608.7,1089855
167,Oil & Natural Gas Corporation Limited,ONGC,P&F | F.A,0.012,164.75,3825651
67,United Breweries Limited,UBL,P&F | F.A,0.011899999999999999,1539.7,307644
